batch,repeat,plan,decode,plan_time,hit,n_jets,jes,bias,jer,jer_iqr,jer_cal,partners,sb_err,plan_mass
256,2,ot,direct,0.011991102248430252,0.03913043439388275,230,0.08964902155990863,-30.212245120172916,9.50544258380656,7.850402721747193,184.1110064776095,,,
256,2,ot,mixture,0.011991102248430252,0.699999988079071,230,0.9562489013375604,-1.5038747787475586,8.097843004674713,8.313247236700036,8.74138522370507,,,
256,2,sb,direct,0.05202476680278778,0.043478257954120636,230,0.0923927037117458,-30.14881419306216,9.762177030902315,7.860208105563764,359.043559287806,1.597620999391265,0.000946239335462451,0.9999913801806459
256,2,sb,mixture,0.05202476680278778,0.6913043260574341,230,0.9550859785910873,-1.6312178984932277,8.20418959420309,8.010720747148133,9.317833301813266,1.597620999391265,0.000946239335462451,0.9999913801806459
256,2,ot-sum,direct,0.013104263693094254,0.11304347217082977,230,0.1807456056281361,-27.34074470685876,12.240580828460466,10.181998923763334,-670.9591540076108,,,
256,2,ot-sum,mixture,0.013104263693094254,0.6913043260574341,230,0.9365647754210468,-2.048617163948391,7.906347815067397,8.226215441727126,8.128386470599473,,,
256,3,random,direct,0.0,0.027272727340459824,220,0.0874098669284067,-30.331066573749887,9.454763905268091,7.40444015095727,-99.21682746864555,,,
256,3,random,mixture,0.0,0.6772726774215698,220,0.9730632638462328,-0.8486298474398526,11.84792185759769,11.297458891872125,11.462195519387162,,,
256,3,ot,direct,0.01197202131152153,0.045454543083906174,220,0.08661502559680613,-30.280309937217016,9.099219291527053,7.656468913853831,-248.06831682150582,,,
256,3,ot,mixture,0.01197202131152153,0.6909090876579285,220,0.9011074896671917,-3.17042121887207,8.172503361795465,7.072513062835535,8.663565700046751,,,
256,3,sb,direct,0.044432383030653,0.040909089148044586,220,0.07946356850135183,-30.40535835786299,8.624848766394186,7.323262601361795,128.33602350112238,1.5346943953588827,0.00094828219152987,0.9999885514117348
256,3,sb,mixture,0.044432383030653,0.6818181872367859,220,0.8982021859188288,-3.147629269686612,8.303145943818825,8.014736571428598,8.028346515913391,1.5346943953588827,0.00094828219152987,0.9999885514117348
256,3,ot-sum,direct,0.011840935796499252,0.09545454382896423,220,0.17707856263398356,-27.392962438409977,11.842454601522556,7.986355393440128,-1030.7094568992384,,,
256,3,ot-sum,mixture,0.011840935796499252,0.7090908885002136,220,0.9288489373324886,-2.302408807927912,7.9052809572255756,6.976583960146441,8.070325299009355,,,
1024,0,random,direct,0.0,0.044742729514837265,894,0.09409549771431742,-30.23662899537908,9.709852064839435,7.12483153686071,-147.14317910372333,,,
1024,0,random,mixture,0.0,0.7203579545021057,894,1.015885946427865,0.3669780138088286,12.775429777342678,13.363745585470575,14.092659035953153,,,
1024,0,ot,direct,0.2691994868218899,0.03914988785982132,894,0.0980999409837151,-30.011202856998317,9.474695675310421,7.441461660669326,-1087.8162591013086,,,
1024,0,ot,mixture,0.2691994868218899,0.7058165669441223,894,0.9351877535654124,-2.1508983349640096,7.840936672354793,7.333492508104238,8.266719402634527,,,
1024,0,sb,direct,0.2756129652261734,0.045861296355724335,894,0.10389694442749652,-29.818595069100127,9.640681574188747,7.4785008441085195,2577.50259179654,1.6283496900993057,0.0009483724134042859,0.9999881755118974
1024,0,sb,mixture,0.2756129652261734,0.7024608254432678,894,0.929037364714892,-2.320767594663889,7.88555368171557,7.593050632236444,8.151620336984672,1.6283496900993057,0.0009483724134042859,0.9999881755118974
