model,observable,jewel,val,delta,delta_over_truth
"truth, towers > 0.5 GeV",et,22.231103897094727,23.474456787109375,-1.2433528900146484,0.7613476568887145
"truth, towers > 0.5 GeV",girth,0.1788974404335022,0.1838809847831726,-0.00498354434967041,0.9827105934344919
"truth, towers > 0.5 GeV",mass,3.212651014328003,3.817085027694702,-0.6044340133666992,0.87836222541436
"truth, towers > 0.5 GeV",n1,5.990467071533203,6.996107578277588,-1.0056405067443848,1.0
"truth, towers > 0.5 GeV",ptd,0.46608152985572815,0.41471415758132935,0.051367372274398804,1.0421269849715344
"truth, towers > 0.5 GeV",rg,0.2350900251627445,0.2639270706825873,-0.028837045519842813,1.077339549417369
"truth, towers > 0.5 GeV",zg,0.23904773301033522,0.24582664781664948,-0.006778914806314262,0.7109003886445852
"truth, towers > 0.5 GeV",zlead,0.36643821001052856,0.3063339591026306,0.06010425090789795,1.063392910341322
"truth, towers > 0.7 GeV",core,0.47379595041275024,0.45480722188949585,0.018988728523254395,1.0041843905683363
"truth, towers > 0.7 GeV",et,21.10115623474121,22.177043914794922,-1.075887680053711,0.6588029600145758
"truth, towers > 0.7 GeV",girth,0.1759747713804245,0.1810021996498108,-0.0050274282693862915,0.9913641118463582
"truth, towers > 0.7 GeV",mass,2.8520870208740234,3.428548812866211,-0.5764617919921875,0.8377130526792823
"truth, towers > 0.7 GeV",n1,5.990467071533203,6.996107578277588,-1.0056405067443848,1.0
"truth, towers > 0.7 GeV",ptd,0.4891146421432495,0.4372105598449707,0.05190408229827881,1.0530156089019596
"truth, towers > 0.7 GeV",rg,0.229725004469065,0.2578858676629998,-0.02816086319393482,1.052077670151116
"truth, towers > 0.7 GeV",zg,0.24016008278200957,0.24791467008031182,-0.007754587298302251,0.8132185285772524
"truth, towers > 0.7 GeV",zlead,0.3856513500213623,0.32434526085853577,0.06130608916282654,1.0846564026960719
uvcgan-s published,core,0.44198474287986755,0.42631879448890686,0.015665948390960693,0.8284652033645337
uvcgan-s published,et,24.423025131225586,25.095352172851562,-0.6723270416259766,0.4116889275086077
uvcgan-s published,girth,0.1833106279373169,0.18725807964801788,-0.003947451710700989,0.7784023459996944
uvcgan-s published,mass,3.6513495445251465,4.09468936920166,-0.44333982467651367,0.6442604923052617
uvcgan-s published,n1,5.929138660430908,6.640933990478516,-0.7117953300476074,0.7078029626630112
uvcgan-s published,ptd,0.42576271295547485,0.38571786880493164,0.04004484415054321,0.8124186784430761
uvcgan-s published,rg,0.23715007961642423,0.25695304265345775,-0.019802963037033522,0.7398301348439525
uvcgan-s published,zg,0.23104725070002274,0.24546181311399035,-0.014414562413967602,1.5116457891883035
uvcgan-s published,zlead,0.3336476683616638,0.2861786186695099,0.04746904969215393,0.8398449384325221
