truth,model,readout,name,reference,observable,bias,rmse,rel_bias,rel_rmse,rel_res,corr,w1_sigma,within_1sd,sd_err_corr
jewel,UVCGAN-S,thr0.5,"UVCGAN-S, thr0.5",thr,zlead,0.013248900882899761,0.10402089357376099,0.08416186273097992,0.6607787609100342,0.6553970575332642,0.8186883778484736,0.11344139471419054,,
jewel,UVCGAN-S,thr0.5,"UVCGAN-S, thr0.5",thr,n1,-0.26920342445373535,1.846882939338684,-0.1274784356355667,0.8745719194412231,0.8652313351631165,0.6651191235230958,0.12848882836705192,,
jewel,UVCGAN-S,thr0.5,"UVCGAN-S, thr0.5",thr,zg,0.005185668696077446,0.12351993810279167,0.04594177051996011,1.0943091399669669,1.0933443407896406,0.4142630702427251,0.046142584892109845,,
jewel,UVCGAN-S,thr0.5,"UVCGAN-S, thr0.5",thr,rg,-0.014079904546627236,0.1026690530024717,-0.122004443762733,0.8896424447858681,0.8812369688493116,0.5628559621257301,0.12205078146045306,,
val,regress_mse-jets,image,regress_mse-jets,full,et,-1.7264710664749146,3.7271695137023926,-0.2682412564754486,0.5790891647338867,0.5132161974906921,0.8719643067066422,0.2683653536072263,,
val,regress_mse-jets,image,regress_mse-jets,full,mass,-0.7520368099212646,1.2842761278152466,-0.5583219528198242,0.9534634351730347,0.7728965282440186,0.6421705511081139,0.5583219549917255,,
val,regress_mse-jets,image,regress_mse-jets,full,girth,-0.003258791286498308,0.011493043974041939,-0.07153143733739853,0.2522757351398468,0.24192208051681519,0.970942864207107,0.0726265741912751,,
val,regress_mse-jets,image,regress_mse-jets,full,ptd,0.0035194160882383585,0.03223228454589844,0.03391113877296448,0.31057238578796387,0.30871546268463135,0.9548107503950137,0.0557274993260888,,
val,regress_mse-jets,image,regress_mse-jets,full,core,0.00969025306403637,0.05029985308647156,0.04041021689772606,0.20976005494594574,0.20583073794841766,0.9792043338312264,0.04355980093376156,,
val,regress_mse-jets,image,regress_mse-jets,full,zlead,0.010210498236119747,0.035216353833675385,0.07640733569860458,0.26353147625923157,0.2522117495536804,0.9688258134404729,0.07774686800954342,,
val,regress_mse-jets,image,regress_mse-jets,full,n1,-1.4086326360702515,2.3296377658843994,-0.636960506439209,1.0534238815307617,0.8390370011329651,0.6044988730958205,0.6369604867900142,,
val,regress_mse-jets,image,regress_mse-jets,full,zg,0.009686306764848166,0.12603427349274995,0.0861904503267208,1.1214749906913037,1.1181580214882583,0.39161507493005576,0.08642673031355828,,
val,regress_mse-jets,image,regress_mse-jets,full,rg,-0.03865235612377973,0.09307600675321183,-0.3887421571006143,0.9361025114144246,0.8515676409828841,0.5720034682057765,0.3887421571006143,,
val,regress_mse-jets,thr0.5,"regress_mse-jets, thr0.5",thr,et,-3.468816041946411,4.852327823638916,-0.523864209651947,0.7328035831451416,0.5124133825302124,0.8773417066125171,0.5238869518006738,,
val,regress_mse-jets,thr0.5,"regress_mse-jets, thr0.5",thr,mass,-1.4423943758010864,1.829246997833252,-1.042263388633728,1.3218001127243042,0.8129222989082336,0.6008060665288284,1.0422633949044051,,
val,regress_mse-jets,thr0.5,"regress_mse-jets, thr0.5",thr,girth,-0.009827254340052605,0.019027534872293472,-0.1972011923789978,0.38182106614112854,0.326954185962677,0.9549345956214353,0.20518084359499644,,
val,regress_mse-jets,thr0.5,"regress_mse-jets, thr0.5",thr,ptd,0.037569284439086914,0.06140245869755745,0.34665173292160034,0.5665603876113892,0.44813308119773865,0.9090246954569934,0.3492308679590547,,
val,regress_mse-jets,thr0.5,"regress_mse-jets, thr0.5",thr,core,0.03440268710255623,0.07882049679756165,0.13007313013076782,0.2980124354362488,0.26812759041786194,0.9721230233052116,0.14667341044015791,,
val,regress_mse-jets,thr0.5,"regress_mse-jets, thr0.5",thr,zlead,0.03833818435668945,0.06448202580213547,0.268959105014801,0.4523696005344391,0.36372968554496765,0.9404748133242177,0.26976563306245976,,
val,regress_mse-jets,thr0.5,"regress_mse-jets, thr0.5",thr,n1,-1.4086326360702515,2.3296377658843994,-0.636960506439209,1.0534238815307617,0.8390370011329651,0.6044988730958205,0.6369604867900142,,
val,regress_mse-jets,thr0.5,"regress_mse-jets, thr0.5",thr,zg,0.017489832367679824,0.12751882534747766,0.15259573533339357,1.112579498400894,1.1020651894602451,0.40509086383363246,0.15259695230816436,,
val,regress_mse-jets,thr0.5,"regress_mse-jets, thr0.5",thr,rg,-0.04661613495869004,0.10093579198241837,-0.4487401969791974,0.9716366922435759,0.8618062991932168,0.5558406454550832,0.44874527484317384,,
jewel,regress_mse-jets,image,regress_mse-jets,full,et,-0.486642062664032,4.023042678833008,-0.05054573714733124,0.4178587794303894,0.41479042172431946,0.9201686053106545,0.10529514759275606,,
